title,OEM,OEM Number,Description,Product Availability
R-A OR E500 Computer,Varian ,E11092037,R-A OR E500 Computer,In Stock
P.S. Term Extraction,Varian ,E11000101,P.S. Term Extraction for E220,In Stock
Terminal Vacuum Gauge Controller,Varian ,E11003713,Terminal Vacuum Gauge Controller for E500,In Stock
PCB,Varian ,E15004521,PCB,In Stock
Kit Replacement NCS PSU,Varian ,E11373450,Kit Replacement NCS PSU for Vista,In Stock
NIB Controller Assy Servo Orienter,Varian ,E11001411,NIB Controller Assy Servo Orienter for E500,In Stock
Kestrel Spindle,Varian ,E11124540,Kestrel Spindle for Kestrel HE,In Stock
8200 Compressor NEW,Varian ,E81000120,8200 Compressor NEW,In Stock
Analyzer Magnet PSU,Varian ,E11000142,Analyzer Magnet PSU for E500,In Stock
PCB Assy Gas Flow Control,Varian ,E15001670,PCB Assy Gas Flow Control for E500,In Stock
200mm Roplat Silicon Coated Adapter,Varian ,E17041712,200mm Roplat Silicon Coated Adapter,In Stock
SI Platen Roplat Multipoint Assy,Varian ,E11007224,SI Platen Roplat Multipoint Assy,In Stock
200mm SI Cooled Platen,Varian ,E11059714,200mm SI Cooled Platen for Varian E500 Implanter,In Stock
Platen Tilt Controller Assy,Varian ,E11001051,Varian Platen Tilt Controller Assy,In Stock
"Artesyn Embedded Technologies, 600W PSU ",,MP6-3L-00 ,"Artesyn Embedded Technologies, 600W PSU MP6-3L-00 ",In Stock
Scanner Assy,Varian ,00-674685-00,Scanner Assy for Varian 3290 Sputter,In Stock
Insulator Table Heater,Varian ,00-682548-00,Insulator Table Heater for Varian 3290 Sputter,In Stock
Bearing Seal Assy,Varian ,04-709847-00,Bearing Seal Assy for Varian 3290 Sputter,In Stock
Magnet Assy,Varian ,04-707985-03,Magnet Assy for Varian 3290 Sputter,In Stock
"Blank Off, Source Flange",Varian ,00-680616-00,"Blank Off, Source Flange for Varian 3290 Sputter",In Stock
Clip Ring CV Mask,Varian ,00-678599-02,Clip Ring CV Mask for Varian 3290 Sputter,In Stock
NC Shield,Varian ,04-714049-01,NC Shield for Varian 3290 Sputter,In Stock
ViPS Can,Varian ,04-710446-06,ViPS Can for Varian 3290 Sputter,In Stock
"6"" Ceramic Ring Shield",Varian ,00-683707-01,"6"" Ceramic Ring Shield for Varian 3290 Sputter",In Stock
"6"" Ceramic Clip Ring",Varian ,00-682216-00,"6"" Ceramic Clip Ring for Varian 3290 Sputter",In Stock
Table Heater,Varian ,04-712198-01,Table Heater for Varian 3290 Sputter,In Stock
Quantum Motor,Varian ,04-707898-04,Quantum Motor for Varian 3290 Sputter,In Stock
Interlock & Control Interface PCB,Varian ,00-678450-01,Interlock & Control Interface PCB for Varian 3290 Sputter,In Stock
Air Cylinder,Varian ,04-714954-01,Air Cylinder for Varian 3290 Sputter,In Stock
Ceramic Insulator,Varian ,00-682884-00,Ceramic Insulator for Varian 3290 Sputter,In Stock
"Cassette 6""",Varian ,00-681359-00,"Cassette 6"" for Varian 3290 Sputter",In Stock
Flex Tube Assy,Varian ,00-678552-02,Flex Tube Assy for Varian 3290 Sputter,In Stock
Pin Quick Release ,Varian ,19-229899-00,Pin Quick Release  for Varian 3290 Sputter,In Stock
Bellows X Seal Assy,Varian ,04-710424-01,Bellows X Seal Assy for Varian 3290 Sputter,In Stock
Sensor Drive Motor,Varian ,04-716650-01,Sensor Drive Motor for Varian 3290 Sputter,In Stock
Flex Tube Assy,Varian ,04-719835-01,Flex Tube Assy for Varian 3290 Sputter,In Stock
Thermocouple,Varian ,27-180262-00,Thermocouple for Varian 3290 Sputter,In Stock
Clarostat Sensors,Varian ,960-00036-000,Clarostat Sensors for Varian 3290 Sputter,In Stock
E-P-Wandler Bloch,Varian ,9411,E-P-Wandler Bloch,In Stock
Ceramic Insulator,Varian ,04-719079-01,Ceramic Insulator for Varian 3290 Sputter,In Stock
Bellows L/L RAM Assy,Varian ,00-678274-01,Bellows L/L RAM Assy for Varian 3290 Sputter,In Stock
"Clip Ring CV Mask 6""",Varian ,DL50-A-814,"Clip Ring CV Mask 6"" for Varian 3290 Sputter",In Stock
"Insulator, Pressure Ring",Varian ,00-683443-02,"Insulator, Pressure Ring for Varian 3290 Sputter",In Stock
Air Cylinder,Varian ,00-678319-01,Air Cylinder for Varian 3290 Sputter,In Stock
Ring Isolation,Varian ,00-682539-00,Ring Isolation for Varian 3290 Sputter,In Stock
Range 500 SCCM Ar-Ventil,Varian ,0248A-11011,Range 500 SCCM Ar-Ventil for Varian 3290 Sputter,In Stock
Shield Assy for Ceramic,Varian ,00-683707-00,Shield Assy for Ceramic for Varian 3290 Sputter,In Stock
"Shield, Feedthru",Varian ,04-717625-01,"Shield, Feedthru for Varian 3290 Sputter",In Stock
Spring,Varian ,04-712167-01,Spring for Varian 3290 Sputter,In Stock
Ram Pad Collar,Varian ,04-712186-01,Ram Pad Collar for Varian 3290 Sputter,In Stock
Heat Distribution Plate,Varian ,00-682547-00,Heat Distribution Plate for Varian 3290 Sputter,In Stock
Table Insert,Varian ,00-683445-00,Table Insert for Varian 3290 Sputter,In Stock
"Shield 6"" Heater ",Varian ,04-712199-01,"Shield 6"" Heater for Varian 3290 Sputter",In Stock
"Shield 6"" F/P BO",Varian ,04-712165-01,"Shield 6"" F/P BO for Varian 3290 Sputter",In Stock
Shield Cavity 6,Varian ,04-715865-01,"Shield Cavity 6"" for Varian 3290 Sputter",In Stock
Flex Tubing Assy,Varian ,28-200704-00,Flex Tubing Assy for Varian 3290 Sputter,In Stock
Axsys Direct Drive spin motor,AMAT ,9240-03211,Axsys Direct Drive spin motor,In Stock
GSD200 Terminal Isolation Transformer,Axcelis,1172070,GSD200 Terminal Isolation Transformer,In Stock
GSD200 Sun Sparcstation 5 PC,Axcelis,600-3492-01,GSD200 Sun Sparcstation 5 PC,In Stock
GSD 150mm Implanter Disk *,Axcelis,,GSD 150mm Implanter Disk,In Stock
SHIELD GUIDE TUBE BOTTOM,AMAT ,76.32.0337.00,SHIELD GUIDE TUBE BOTTOM,In Stock
SHIELD GRAPHITE PRE MRS SLIT,AMAT ,76.32.0298.00,SHIELD GRAPHITE PRE MRS SLIT,In Stock
SHIELD GRAPHITE POST MRS SLIT,AMAT ,76.32.0458.00,SHIELD GRAPHITE POST MRS SLIT,In Stock
SHIELD GRAPHITE 55X94,AMAT ,76.32.0205.01,SHIELD GRAPHITE 55X94,In Stock
SCREEN SIDE ENTRY TUBE PFS,AMAT ,76.32.0341.00,SCREEN SIDE ENTRY TUBE PFS,In Stock
RING SUPP EXT,AMAT ,76.32.0392.00,RING SUPP EXT,In Stock
PLATE FRONT HALF SOURCE GRAPHITE,AMAT ,76.32.0364.00,PLATE FRONT HALF SOURCE GRAPHITE,In Stock
Mounting Supp Elec Ext,AMAT ,76.32.0397.00,Mounting Supp Elec Ext,In Stock
MOUNTING GRN ELEC EXT,AMAT ,76.32.0400.00,MOUNTING GRN ELEC EXT,In Stock
LINER ANTICATHODE,AMAT ,76.32.0316.00,LINER ANTICATHODE,In Stock
INSERT INNER,AMAT ,76.32.0310.00,INSERT INNER,In Stock
GUIDE TUBE SIDE PFS,AMAT ,76.32.0335.00,GUIDE TUBE SIDE PFS,In Stock
GRAPHITE GUIDE TUBE TOP PFS,AMAT ,76.32.0336.00,GRAPHITE GUIDE TUBE TOP PFS,In Stock
GRAPHITE GUIDE TUBE SIDE PFS,AMAT ,76.32.0334.00,GRAPHITE GUIDE TUBE SIDE PFS,In Stock
"GASLINE ASSY,INSULATED",AMAT ,DL30.32.0494.00,No Description,In Stock
FILAMENT ARC CHAMBER 2.4 PURE,AMAT ,DL63.32.0096.00,FILAMENT ARC CHAMBER 2.4 PURE,In Stock
CHAMBER ARC,AMAT ,76.32.0347.02,CHAMBER ARC,In Stock
BEAMSTOP GRAPHITE BLOCK 3 POS P'KIT,AMAT ,76.32.0391.00,BEAMSTOP GRAPHITE BLOCK 3 POS P'KIT,In Stock
APERTURE PRE-DEFINING,AMAT ,76.32.0388.00,APERTURE PRE-DEFINING,In Stock
"Fan 4"" 115vac Multi",AMAT ,1183229,"Fan 4"" 115vac Multi",In Stock
Fan 9500 PAPST 4214NGN,AMAT ,9600515,Fan 9500 PAPST 4214NGN,In Stock
Retainer Front Plate 9500 Source,AMAT ,0020-98908,Retainer Front Plate 9500 Source,In Stock
Clamp 9500 L/H PFS Filament,AMAT ,0020-82131,Clamp 9500 L/H PFS Filament,In Stock
"Moving clip assy, 125-150, 0 Deg SPL",AMAT ,0010-99165,"Moving clip assy, 125-150, 0 Deg SPL",In Stock
"Pipe Assy, Argon, Insulated (STD)",AMAT ,0040-93833,No Description,In Stock
"Clamp, filament, L/H",AMAT ,0020-81227,"Clamp, filament, L/H",In Stock
"Clamp, filament, R/H",AMAT ,0040-94018,"Clamp, filament, R/H",In Stock
Fan 9500 0600-90034,AMAT ,0600-90034,Fan 9500 0600-90034,In Stock
O RING SOURCE ISO VALVE VACUUM,AMAT ,3700-90140,O RING SOURCE ISO VALVE VACUUM,In Stock
O RING SOURCE ISO VALVE ATMOSPHERE,AMAT ,3700-90320,O RING SOURCE ISO VALVE ATMOSPHERE,In Stock
TRANSZORB - POST TO POST,SZS,0150-95943,TRANSZORB - POST TO POST,In Stock
TRANSZORB - POST TO GROUND,AMAT ,0150-90834,TRANSZORB - POST TO GROUND,In Stock
SPRING DRIVE,AMAT ,0020-83142,SPRING DRIVE,In Stock
SPACER EXTRACTOR,AMAT ,0020-83227,SPACER EXTRACTOR,In Stock
SLEEVE FILTER  KF32L 5-10 HM,AMAT ,4020-90040,SLEEVE FILTER KF32L 5-10 HM,In Stock
SENSOR LED EMITTER WAFER ON BLADE,AMAT ,1400-90017,SENSOR LED EMITTER WAFER ON BLADE,In Stock
SENSOR LED DETECTOR  WAFER ON BLADE,AMAT ,1400-90016,SENSOR LED DETECTOR WAFER ON BLADE,In Stock
SEAL TOP BEAMSTOP,AMAT ,0020-95175,SEAL TOP BEAMSTOP,In Stock
SEAL GASKET GRAPHITE BEAMSTOP 3 POSITION,AMAT ,0020-82399,SEAL GASKET GRAPHITE BEAMSTOP 3 POSITION,In Stock
SEAL GASKET BEAMSTOP 3 POSITION,AMAT ,0020-82380,SEAL GASKET BEAMSTOP 3 POSITION,In Stock
SEAL FLIGHTTUBE MRS FLANGE,AMAT ,3700-90389,SEAL FLIGHTTUBE MRS FLANGE,In Stock
SEAL FLIGHTTUBE ISO VALVE,AMAT ,3700-01051,SEAL FLIGHTTUBE ISO VALVE,In Stock
SEAL FLIGHTTUBE COVER ACCESS,AMAT ,3700-90006,SEAL FLIGHTTUBE COVER ACCESS,In Stock
SEAL BOTTOM BEAMSTOP,AMAT ,0020-95176,SEAL BOTTOM BEAMSTOP,In Stock
SCREW GRUB,AMAT ,3690-90526,SCREW GRUB,In Stock
REFLECTOR FILAMENT,AMAT ,0020-98914,REFLECTOR FILAMENT,In Stock
PSU ASSY 45W XP 9500 IMPLANTER (Repair),AMAT ,0240-97545,PSU ASSY 45W XP 9500 IMPLANTER (Repair),In Stock
O RING FLIGHT TUBE QUICK CONNECT,AMAT ,3700-90003,O RING FLIGHT TUBE QUICK CONNECT,In Stock
O RING BS0006 MULTI,AMAT ,3700-01007,O RING BS0006 MULTI,In Stock
O RING 85.09 X 53.3 MULTI,AMAT ,3700-90112,O RING 85.09 X 53.3 MULTI,In Stock
O RING 5.7 X 104.3 MULTI,AMAT ,3700-90245,O RING 5.7 X 104.3 MULTI,In Stock
O RING 3.53 X 107.54 VITON,AMAT ,3700-90122,O RING 3.53 X 107.54 VITON,In Stock
O RING 2.62 X 40.94 MULTI,AMAT ,3700-90243,O RING 2.62 X 40.94 MULTI,In Stock
O RING 2.62 X 31.42 MUTLI,AMAT ,3700-90124,O RING 2.62 X 31.42 MUTLI,In Stock
O RING 0.674 X 0.103 MULTI VIT,AMAT ,3700-90004,O RING 0.674 X 0.103 MULTI VIT,In Stock
NOZZLE OVEN SOURCE SLEEVE,AMAT ,0020-81226,NOZZLE OVEN SOURCE SLEEVE,In Stock
LINER SIDE,AMAT ,0020-98917,LINER SIDE,In Stock
LINER BEAMSTOP,AMAT ,0020-80452,LINER BEAMSTOP,In Stock
LINER BASE STD,AMAT ,0020-98916,LINER BASE STD,In Stock
INSULATOR SOURCE ASSEMBLY,AMAT ,0020-97557,No Description,In Stock
HEATSHIELD ARC CHAMBER,AMAT ,0020-81386,HEATSHIELD ARC CHAMBER,In Stock
GAUGE VACUUM 572 KF25,AMAT ,3310-90003,GAUGE VACUUM 572 KF25,In Stock
GAUGE ION   (VARIAN 160/10 SPA,AMAT ,5300019,GAUGE ION (VARIAN 160/10 SPA,In Stock
FINGER SHORT GRIPPER,AMAT ,0020-85167,No Description,In Stock
FINGER LONG GRIPPER,AMAT ,0020-84222,No Description,In Stock
CLIP CIRCLIP MULTI,AMAT ,0690-90077,CLIP CIRCLIP MULTI,In Stock
CLIP ASSM WHEEL,AMAT ,0040-94763,CLIP ASSM WHEEL,In Stock
BEAMSTOP GRAPHITE,AMAT ,0020-82832,BEAMSTOP GRAPHITE,In Stock
Assembly Moving Clip 200mm,AMAT ,0010-99166,Assembly Moving Clip 200mm,In Stock
ANTICATHODE BERNAS,AMAT ,0020-81482,ANTICATHODE BERNAS,In Stock
9500 PFS TRANSORB ASSY,AMAT ,0150-95016,9500 PFS TRANSORB ASSY,In Stock
9500 PFS APERATURE (VCI) GRAPHITE,AMAT ,0020-83931,9500 PFS APERATURE (VCI) GRAPHITE,In Stock
9500 BEAMSTOP LINER 3IMP4,AMAT ,0020-82404,9500 BEAMSTOP LINER 3IMP4,In Stock
Beamline Exhaust Tube,AMAT ,E78000179,No Description,In Stock
ASSY 65W XP PSU,AMAT ,0090-91641,ASSY 65W XP PSU,In Stock
Tube Exhaust 9500 PTFE Corrugated,AMAT ,3400-99011,Tube Exhaust 9500 PTFE Corrugated,In Stock
BELT TIMING HANDLER & IMP,AMAT ,3080-90010,BELT TIMING HANDLER & IMP,In Stock
Edwards STP-XH3203P Turbo Vacuum Pump,Edwards,YTT55-0Z-005,Edwards Turbo Pump,In Stock
A-Mag Power Supply,Nissin,NI070135-0,Nissin A-Mag Power Supply,In Stock
Chassis Assy Slave X4523,Spellman,407502-005,Spellman Chassis Assy Slave X4523,In Stock
ESG BSC I/O Unit,Nissin,,Nissin ESG BSC I/O Unit,In Stock
FC Suppressor Power Supply,Nissin,,Nissin FC Suppressor Power Supply,In Stock
Filament Power Supply,Nissin,NI111657-0,Nissin Filament Power Supply,In Stock
PFC Arc Power Supply,Nissin,NI100148-2-PN,Nissin PFC Arc Power Supply,In Stock
PFC EXT Power Supply,Nissin,NI100148-2-PN,Nissin PFC EXT Power Supply,In Stock
6kV Suppression Power Supply,Nissin,NI011364-0-S,Nissin 6kV Suppression Power Supply,In Stock
TC Gauge,Nissin,TVR-DC10,Nissin TC Gauge - TVR-DC10,In Stock
SCU-1600 Turbo Pump Control Unit,Edwards,YT76Z0Z00,Edwards SCU-1600 Turbomolecular Pump Control Unit,In Stock
Edwards iXH610 HV,Edwards,ACB102121100,Edwards iXH610 HV Pump,In Stock
Edwards iXH100 HV,Edwards,ACA102121000,Edwards iXH 100 HV Pump,In Stock
Gas Panel - Xenon Xe,AMAT ,9010-02283,Gas Panel - Xenon Xe,In Stock
Gas Panel - Silicon Tetrafluoride SiF4,AMAT ,0010-92515,Gas Panel - Silicon Tetrafluoride SiF4,In Stock
Gas Panel - Phosphine PH3,AMAT ,9010-01279,Gas Panel - Phosphine PH3,In Stock
Gas Panel - Germanium Tetrafluoride GeF4,AMAT ,0060-99022,Gas Panel - Germanium Tetrafluoride GeF4,In Stock
Gas Panel - Carbon Tetrafluoride CF4,AMAT ,9010-02033,Gas Panel - Carbon Tetrafluoride CF4,In Stock
Gas Panel - Carbon Dioxide CO2,AMAT ,9010-02032,Gas Panel - Carbon Dioxide CO2,In Stock
Gas Panel - Boron Trifluoride BF3,AMAT ,0060-90271,Gas Panel - Boron Trifluoride BF3,In Stock
Gas Panel - Arsine AsH3,AMAT ,0010-92514,Gas Panel - Arsine AsH3,In Stock
Eaton Powerware Online Rack/Tower,Eaton,PW9125 3000VA,"Eaton Powerware PW9125 3000VA Online Rack/Tower UPS, 230V",In Stock
Manifold Attachments,,,"Manifold Attachments are available as part of our Clearance Stock. Multiple quantities can be purchased at a significantly reduced price. For our ""Multi Buy"" deals within our Clearance Stock please contact a member of our sales team on
+44(0)117 938 0600 or email us at info@iessemiconductorparts.com. We will provide you with all the information you need.",In Stock
150mm Carousel Indexer,AMAT ,0040-92282,150mm Carousel Indexer,In Stock
Source Housing Chamber,AMAT ,0400-53955,Source Housing Chamber,In Stock
Graphite,AMAT ,,"Graphite is available as part of our Clearance Stock. Multiple quantities can be purchased at a significantly reduced price. For our ""Multi Buy"" deals within our Clearance Stock please contact a member of our sales team on
+44(0)117 938 0600 or email us at info@iessemiconductorparts.com. We will provide you with all the information you need.",In Stock
CTI Cryogenics Lines,CTI,,"CTI Cryogenics Lines are available as part of our Clearance Stock. Multiple quantities can be purchased at a significantly reduced price. For our ""Multi Buy"" deals within our Clearance Stock please contact a member of our sales team on
+44(0)117 938 0600 or email us at info@iessemiconductorparts.com. We will provide you with all the information you need.",In Stock
Edwards Pump Attachments,Edwards,,"Edwards Pump Attachments are available as part of our Clearance Stock. Multiple quantities can be purchased at a significantly reduced price. For our ""Multi Buy"" deals within our Clearance Stock please contact a member of our sales team on
+44(0)117 938 0600 or email us at info@iessemiconductorparts.com. We will provide you with all the information you need.",In Stock
Exhaust Ports,AMAT ,,"Exhaust Ports are available as part of our Clearance Stock. Multiple quantities can be purchased at a significantly reduced price. For our ""Multi Buy"" deals within our Clearance Stock please contact a member of our sales team on +44(0)117 938 0600 or email us at info@iessemiconductorparts.com. We will provide you with all the information you need.",In Stock
Faraday Cages,AMAT ,,"Faraday Cages are available as part of our Clearance Stock. Multiple quantities can be purchased at a significantly reduced price. For our ""Multi Buy"" deals within our Clearance Stock please contact a member of our sales team on +44(0)117 938 0600 or email us at info@iessemiconductorparts.com. We will provide you with all the information you need.",In Stock
PFS Spares,AMAT ,,"PFS Spare Parts are available as part of our Clearance Stock. Multiple quantities can be purchased at a significantly reduced price. For our ""Multi Buy"" deals within our Clearance Stock please contact a member of our sales team on +44(0)117 938 0600 or email us at info@iessemiconductorparts.com. We will provide you with all the information you need.",In Stock
Piping Attachments,AMAT ,,"Piping Attachments are available as part of our Clearance Stock. Multiple quantities can be purchased at a significantly reduced price. For our ""Multi Buy"" deals within our Clearance Stock please contact a member of our sales team on
+44(0)117 938 0600 or email us at info@iessemiconductorparts.com. We will provide you with all the information you need.",In Stock
Source Liners,AMAT ,,"Source Liners are available as part of our Clearance Stock. Multiple quantities can be purchased at a significantly reduced price. For our ""Multi Buy"" deals within our Clearance Stock please contact a member of our sales team on +44(0)117 938 0600 or email us at info@iessemiconductorparts.com. We will provide you with all the information you need",In Stock
Water Manifolds,,,"Water Manifolds are available as part of our Clearance Stock. Multiple quantities can be purchased at a significantly reduced price. For our ""Multi Buy"" deals within our Clearance Stock please contact a member of our sales team on +44(0)117 938 0600 or email us at info@iessemiconductorparts.com. We will provide you with all the information you need.",In Stock
5 Phase Stepper Controller *,AMAT ,0100-90172,5 Phase Stepper Controller,In Stock
DC Motor Drive,AMAT ,0100-91042,PWBA-DC Motor Drive DD,In Stock
Atmosphere Robot,AMAT ,0520-00062,Atmosphere Robot for Quantum X,In Stock
Implanter Wheel - 300mm (Non Populated),AMAT ,,Implanter Wheel - 300mm (Non Populated),In Stock
CIP Implanter Wheel - 200mm (Non Populated),AMAT ,,CIP Implanter Wheel - 200mm (Non Populated),In Stock
Implanter Wheel - 150mm (Fully Populated),AMAT ,,Implanter Wheel - 150mm (Fully Populated),In Stock
Implanter Wheel - 200mm (Non Populated),AMAT ,,Implanter Wheel - 200mm (Non Populated) + Stand,In Stock
Baldor AC Brushless Servo Motor,,BSM80N-375BA,Baldor AC Brushless Servo Motor,In Stock
Plasma Flood Chassis,AMAT ,0040-97140,Plasma Flood Chassis (Tested 19-10-19),In Stock
Bushing,Varian ,,Varian Bushing,In Stock
Accel Column ,Varian ,E17007400,Varian Accel Column,In Stock
6KW Converter,AMAT ,0090-90860,6KW Converter,In Stock
9500 Source Cooling Tube,AMAT ,0040-99120,9500 Source Cooling Tube,In Stock
Cold Cathode Vacuum Gauge,Varian ,E23000001,Varian 860A-2 Torr Cold Cathode Vacuum Gauge w/ Cables,In Stock
IHC Upgrade Kit for Quantum III (9240-03749),AMAT ,9240-03749,IHC Upgrade Kit for Quantum III (9240-03749),In Stock
IHC Extended Rear Panel for (9240-03749),AMAT ,0040-80384,IHC Extended Rear Panel (0040-80384),In Stock
IHC Upgrade Kit for Quantum III (9240-03749),AMAT ,"0040-80634, 0720-91547",Microswitch (0040-80634) & Housing Frame 4 Module (0720-91547),In Stock
Bias PSU,AMAT ,1140-00152,XHR600-2 Xantrex IHC Psu - BIAS,In Stock
Varian E500 Source,Varian ,,Varian E500 Source,In Stock
Varian E500 Orienter Lamp,Varian ,"E11001632, E110016333 ",Varian E500 Orienter Lamp,In Stock
Source Vaporizer (Qty. 5),AMAT ,0020-97516,Source Vaporizer (Qty. 5),In Stock
Source,AMAT ,,XR80 / Quantum 1 Source With G2 Electrode,In Stock
Source,AMAT ,,Quantum 2 / Quantum X Source,In Stock
Source,AMAT ,,9500xR Bernas Source,In Stock
Orienter Chamber,AMAT ,0010-93070,"8"" Orienter Chamber CVD/ETCH",In Stock
Dual Bellows Extraction Assembly,AMAT ,0040-95341,Dual Bellows Extraction Assembly,In Stock
60KV Mirror Assy,Varian ,E10047453,Varian E220/E500 (10047453) 60KV Mirror Assy,In Stock
Alum-A-Lift Bracket,Varian ,E17229560-250 Cryo ,Alum-A-Lift Bracket,In Stock
Varian Alum-A-Lift,Varian ,C800-65/65CSCR,"Varian Alum-A-Lift, Model No. (C800-65/65CSCR)",In Stock
MVME 335,AMAT ,0660-90092,MVME 335,In Stock
Cold Cathode Vacuum Controller,Varian ,E11003710,Cold Cathode Vacuum Controller for an E220 E500 Varian Ion Implanter.,In Stock
Angular Contact Bearing,,INA ZKLF3080-2RS,INA ZKLF30802RS Rubber Sealed Double Row Axial Angular Contact Ball Bearing,In Stock
150mm E Chuck,AMAT ,"0020-32168/B, 0010-10204/B",150mm E Chuck,In Stock
E500 Cassette Loading Mechanism,Varian ,E11001663,E500 Cassette Loading Mechanism,In Stock
E500 150mm Size Change Kit,Varian ,,E500 150mm Size Change Kit,In Stock
Electde Focus Twin F/Thro R340,AMAT ,0020-49487/B,Electde Focus Twin F/Thro R340,In Stock
Graphite,AMAT ,,Graphite,In Stock
Graphite,AMAT ,0020-24067/A,Graphite,In Stock
Indramat Cable,AMAT ,INK200-06-27-016,Indramat Cable,In Stock
AMAT 9500xR Isolation Transformer *,AMAT ,0190-90279,AMAT 9500xR Isolation Transformer complete with matching High Voltage Stack and Power Supplies.,In Stock
STL Stewart Transformers 26kVA Transformer,AMAT ,1360-00103,STL Stewart Transformers 26kVA Transformer,In Stock
AMAT xR80 STL Transformer ,AMAT ,1360-90103,AMAT xR80 STL Transformer,In Stock
Precision Electromagnet for xR80 ,AMAT ,0010-92170-ITL,Buckley Systems LTD Precision Electromagnet for xR80,In Stock
Suppression PSU Power Cable,AMAT ,,Suppression PSU Power Cable,In Stock
X5FA.P10/X5F.P3,AMAT ,,X5FA.P10/X5F.P3,In Stock
Varian VSEA Thermistor Gauge Cable,Varian ,E16031960,Varian VSEA Thermistor Gauge Cable,In Stock
Low Voltage Computer Cable,Varian ,E101344,Low Voltage Computer Cable,In Stock
CA PX75D.O-P/PX75E.,AMAT ,0620-02088,CA PX75D.O-P/PX75E.,In Stock
Hitachi 2464 Power Cable,Varian ,E41447,Hitcachi 2464 Power Cable,In Stock
CM 22AWG Power Cable,Varian ,E118871 ,CM 22AWG Power Cable,In Stock
AWM 2919,Varian ,E108998,AWM 2919,In Stock
XCE.P2/X6C.P4,AMAT ,,XCE.P2/X6C.P4,In Stock
X2A/X5A.P5,AMAT ,,X2A/X5A.P5,In Stock
Suppression PSU Power Cable,AMAT ,,Suppression PSU Power Cable,In Stock
"X5A.P14/CSI.J1/PSI.JI,J2",AMAT ,0150-95169,"X5A.P14/CSI.J1/PSI.JI,J2",In Stock
X5K.P11/X5FA.P11,AMAT ,,X5K.P11/X5FA.P11,In Stock
Extension Lead,AMAT ,80811 REVB,Extension Lead,In Stock
Coaxial Test Cable,,RG-58/U,Coaxial Test Cable,In Stock
X5FA.P5/X5F.P9,AMAT ,0150-94646,X5FA.P5/X5F.P9,In Stock
X5FA.P16/X5F.P2,AMAT ,0150-94651,X5FA.P16/X5F.P2,In Stock
Copper Earthing Cable,AMAT ,0150-92979,Copper Earthing Cable,In Stock
3X1BA.P2/3X8A.P6,AMAT ,0150-97070,3X1BA.P2/3X8A.P6,In Stock
Varian VSEA Thermistor Gauge Cable,Varian ,E16031960,Varian VSEA Thermistor Gauge Cable,In Stock
X5FA.P18/X5F.P8,AMAT ,,X5FA.P18/X5F.P8,In Stock
X4F.P9/X3B.P4/X3A.J10,AMAT ,0140-91186,X4F.P9/X3B.P4/X3A.J10,In Stock
Cryo Power Cable ,CTI,8112463G200,CTI Cryogenics Power Cable ,In Stock
Cable ,AMAT ,0150-97149,Cable ,In Stock
X5A.P12/X2A.P13,AMAT ,0150-94838,X5A.P12/X2A.P13,In Stock
BNC Cable Assy,AMAT ,0150-90163A,BNC Cable Assy,In Stock
X28C.P3/X22C.P1,AMAT ,0150-97147A,X28C.P3/X22C.P1,In Stock
Light Link Cable 1U,Varian ,E16008960,Light Link Cable 1U,In Stock
Light Link Cable 3U,Varian ,E16008970,Light Link Cable 3U,In Stock
X14A.P8/X1C.P4/X3A.P,AMAT ,0150-95881A,Misc Cable - X14A.P8/X1C.P4/X3A.P,In Stock
CFA Bulgin PSU Output,AMAT ,0150-95160B,CFA Bulgin PSU Output,In Stock
Indexer Input Cable,AMAT ,X1CP2,Indexer Input Cable,In Stock
Suppression PSU Lead,AMAT ,0150-97146,Suppression PSU Lead - X28C.P4/X22C.P2,In Stock
HD PFS ,AMAT ,,AMAT HD PFS for 9500xR (Fully Refurbished with New Graphite),In Stock
Scan Amplifier *,AMAT ,"0090-91099, 0090-91282 ",Scan Amplifier,In Stock
Source Bushing,AMAT ,,28mm Source Bushing for 9500,In Stock
Source Bushing,Varian ,,Source Bushing for XR80,In Stock
Source Bushing,AMAT ,0240-91623,40mm Source Bushing for 9500,In Stock
80KV Converter,AMAT ,0090-91131W,80KV Converter,In Stock
Accel Column,Eaton,,Accel Column for Eaton 6200 Implanter,In Stock
80KV Stack,AMAT ,0090-91917,80KV Stack,In Stock
Scan Drive,AMAT ,,Scan Drive,In Stock
Platen Tilt Servo Controller,Varian ,E11001051,Platen Tilt Servo Controller,In Stock
Recif BNO Microcontroller NEW,AMAT ,0090-91689,Recif BNO Microcontroller (NEW),In Stock
Scan Arm Ferro-Fluidic Seal,AMAT ,3700-99003,Scan Arm Ferro-Fluidic Seal,In Stock
Spin Motor Ferro-Fluidic Seal,AMAT ,3700-99021,Spin Motor Ferro-Fluidic Seal,In Stock
Direct Drive Spin Motor 9500XR / XR80 Series *,AMAT ,9240-00879,Direct Drive Spin Motor 9500XR / XR80 Series. Refurbished with full warranty.,In Stock
AMAT Decel Power Supply,AMAT ,1140-00165,AMAT Decel PSU,In Stock
Glassman WX Suppress PSU,AMAT ,0090-91155,Glassman WX Suppress PSU,In Stock
200KV Stack,AMAT ,0090-91033,200KV Stack,In Stock
160KV Stack,AMAT ,A1015850,NEW 160KV Stack,In Stock
160KV Converter,AMAT ,A1015850,160 KV Converter (NEW),In Stock
